ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Low stock amount","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: views","Meta: _oembed_8839f14990715665af6410e80a29ea81","Meta: video_sp","Meta: _video_sp","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục 1","Tên tập tin tải về 1","URL tập tin tải về 1","Meta: 360_do_0_color","Meta: _360_do_0_color","Meta: 360_do_0_title","Meta: _360_do_0_title","Meta: _360_do_0_list_image","Meta: 360_do_1_color","Meta: _360_do_1_color","Meta: 360_do_1_title","Meta: _360_do_1_title","Meta: _360_do_1_list_image","Meta: 360_do","Meta: _360_do","Meta: _wcj_wholesale_price_per_product_enabled","Meta: _wcj_wholesale_price_discount_type","Meta: _wcj_wholesale_price_levels_number","Meta: _wcj_wholesale_price_level_min_qty_1","Meta: _wcj_wholesale_price_level_discount_1"
42,simple,,"iPhone X 64GB",1,1,visible,"Trả góp 0% + Trợ giá 8,000,000đ khi mua kèm gói VNM-FPT888 Xem chi tiết
\n<img id=""Hệ điều hành iOS 11 trên iphone 8 plus 256gb"" class=""aligncenter"" title=""Hệ điều hành iOS 11 trên iphone 8 plus 256gb"" src=""https://fptshop.com.vn/Uploads/images/2015/SANPHAM/T11/iphone-8-plus-256-gb/iphone-8-plus-256-gb-6.jpg"" alt=""Hệ điều hành iOS 11 trên iphone 8 plus 256gb"" longdesc=""https://fptshop.com.vn/dien-thoai/iphone-8-plus-256-gb"" />
\nHệ điều hành iOS 11 trên <strong>Apple iPhone 8 Plus 256Gb</strong> được đánh giá cao với nhiều cải tiến vượt bậc về giao diện, cho khả năng đa nhiệm mượt mà, hỗ trợ mạnh tính năng thực tế ảo AR, giúp người dùng có được trải nghiệm toàn diện hơn.
\n<h3><strong>Tính năng chống nước</strong></h3>
\n<img id=""iphone 8 plus 256gb được trang bị tính năng chống nước"" class=""aligncenter"" title=""iphone 8 plus 256gb được trang bị tính năng chống nước"" src=""https://fptshop.com.vn/Uploads/images/2015/SANPHAM/T11/iphone-8-plus-256-gb/iphone-8-plus-256-gb-2.jpg"" alt=""iphone 8 plus 256gb được trang bị tính năng chống nước"" longdesc=""https://fptshop.com.vn/dien-thoai/iphone-8-plus-256-gb"" />
\n
\nTheo Apple, <strong>iPhone 8 Plus 256Gb </strong>đạt chuẩn chống nước kháng bụi IP 68 cho phép chịu nước ở độ sâu 1 mét trong vòng 30 phút. Vì vậy người dùng có thể hoàn toàn yên tâm sử dụng dưới trời mưa hay trong môi trường đầy khói bụi.",,,taxable,,1,,,0,0,,,,,1,,,28790000,"Điện thoại > Iphone","iphone, iphone 8",,"http://shop.thietkeweb43.com/wp-content/uploads/2018/02/iphone8.jpg, http://shop.thietkeweb43.com/wp-content/uploads/2018/02/636459057731089002_636459040422816229_2.jpg, http://shop.thietkeweb43.com/wp-content/uploads/2018/02/636459040422660236_1.jpg",,,,,,,,,0,25,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,
52,simple,,"Iphone 7 32G",1,0,visible,"iPhone 7 Plus 128GB Quốc tế TBH được xách tay trực tiếp từ thị trường uy tín như Mỹ, Nhật, Singapore. Máy mới 100% nguyên seal, đẹp và hiệu năng ổn định cho trải nghiệm hoàn hảo đáp ứng mọi công việc học tập và làm việc của bạn.","<strong>Với thiết kế không quá nhiều thay đổi, vẫn bảo tồn vẻ đẹp truyền thống từ thời iPhone 6 Plus,  iPhone 7 Plus 32GB được trang bị nhiều nâng cấp đáng giá như camera kép, đạt chuẩn chống nước chống bụi cùng cấu hình cực mạnh.</strong>
\n
\n<a class=""preventdefault"" href=""https://www.thegioididong.com/images/42/87840/iphone-7-plus-256gb1-1.jpg""><img class=""lazy aligncenter"" title=""Diện mạo mới của iPhone 7 Plus"" src=""https://cdn4.tgdd.vn/Products/Images/42/87840/iphone-7-plus-256gb1-1.jpg"" alt=""Diện mạo mới của iPhone 7 Plus"" data-original=""https://cdn4.tgdd.vn/Products/Images/42/87840/iphone-7-plus-256gb1-1.jpg"" /></a>
\nThay đổi dãy nhựa an-ten bắt sóng được đưa vòng lên trên thay vì cắt ngang ở mặt lưng như trước.
\n
\n<a class=""preventdefault"" href=""https://www.thegioididong.com/images/42/87840/iphone-7-plus-256gb2-1.jpg""><img class=""lazy aligncenter"" title=""Bút home cảm ứng"" src=""https://cdn1.tgdd.vn/Products/Images/42/87840/iphone-7-plus-256gb2-1.jpg"" alt=""Bút home cảm ứng"" data-original=""https://cdn1.tgdd.vn/Products/Images/42/87840/iphone-7-plus-256gb2-1.jpg"" /></a>
\nNút Home quen thuộc không còn là phím vật lý nữa mà được thay thế bằng cảm ứng, nó sẽ rung lên khi bạn ấn. Vì đã dùng iPhone một thời gian rất dài, nên tôi công nhận rằng hơi khó để làm quen với nó, nhưng có lẽ chỉ mất vài ngày thôi.
\n
\n<a class=""preventdefault"" href=""https://www.thegioididong.com/images/42/87840/iphone-7-plus-256gb3-1.jpg""><img class=""lazy aligncenter"" title=""Trang bị chuẩn chống nước cao cấp"" src=""https://cdn3.tgdd.vn/Products/Images/42/87840/iphone-7-plus-256gb3-1.jpg"" alt=""Trang bị chuẩn chống nước cao cấp"" data-original=""https://cdn3.tgdd.vn/Products/Images/42/87840/iphone-7-plus-256gb3-1.jpg"" /></a>
\nCuối cùng chúng ta cũng có được chiếc iPhone vẫn sống khi rơi vào nước hay đi mưa không cần phải loay hoay tìm chỗ cất vì Apple đã mang chuẩn chống nước IP67 cho iphone 7 plus .(Lưu ý: không nên cố tình ngâm nước vì nếu có thiệt hại do vào nước sẽ không được Apple bảo hành).
\n
